Release Date,Time,Actual,Forecast,Previous,
"Apr 03, 2020 (Mar)",8:30,-701K,-100K,275K,
"Mar 06, 2020 (Feb)",9:30,273K,175K,273K,
"Feb 07, 2020 (Jan)",9:30,225K,160K,147K,
"Jan 10, 2020 (Dec)",9:30,145K,164K,256K,
"Dec 06, 2019 (Nov)",9:30,266K,186K,156K,
"Nov 01, 2019 (Oct)",8:30,128K,89K,180K,
"Oct 04, 2019 (Sep)",8:30,136K,140K,168K,
"Sep 06, 2019 (Aug)",8:30,130K,160K,159K,
"Aug 02, 2019 (Jul)",8:30,164K,164K,193K,
"Jul 05, 2019 (Jun)",8:30,224K,160K,72K,
"Jun 07, 2019 (May)",8:30,75K,185K,224K,
"May 03, 2019 (Apr)",8:30,263K,181K,189K,
"Apr 05, 2019 (Mar)",8:30,196K,175K,33K,
"Mar 08, 2019 (Feb)",9:30,20K,181K,311K,
"Feb 01, 2019 (Jan)",9:30,304K,165K,222K,
"Jan 04, 2019 (Dec)",9:30,312K,178K,176K,